"justWink Greeting Cards","American Greetings","justWink lets you personalize and send awesome greeting cards from your phone to your friends, family, and beyond, via REAL MAIL, TXT messages, email, Twitter or Facebook. ---Where no greeting card has gone before? We just went there. Always have the perfect card at your fingertips—over 200 cards that will work for every who, what, where, and when in your crazy life! Cards that shuffle between, funny, bold, cute, trendy, sassy, heartfelt, sweet, and beautiful. Cards that open and flip and make people smile just like real cards... and now, you can even send REAL PAPER CARDS hand-delivered by your local mail carrier. You can even customize these cards like you can any greeting card: Add your own note, drop in a photo, and even add your own signature (or finger doodle) for that authentic “I Actually Care About You” feel!FEATURESQuickly find great cards for: - Birthday!- Thanks!- Congrats!- Baby!- Wedding!- Friendship!- Couples!- Just Because!- On the Fly!- Bromance- And everything in between...Personalization – choose to add any or all (or none) of the following inside the cards:- Your own message- Your signature- A photo from your phoneSend Cards Via:- REAL MAIL!- Email- Facebook- Twitter- Text MessageOther Fun Stuff:- Store Locator - like justWink? Find our great paper cards in card aisles near you!- Reminders – never forget an all-important (or entirely trivial) card-sending occasion again!Thanks for checking out justWink, and remember…when you need the perfect card, whatever the situation, don’t stress... justWink.","Free","Lifestyle","20.0 MB","AGC, LLC ","4 and a half stars","26 Ratings","https://itunes.apple.com/us/app/justwink-greeting-cards/id439880532?mt=8""
"
"News for Minecraft PE","Atrran Rice","This app will help you so much with Minecraft Pocket Edition! New things are put on daily and we offer so much! Read what we have below.This App Contains:*Guides*Update News*Maps*Skins*Texture Packs*Building Designs*AND MORE!Download For Free Now!News for Minecraft PE is an unofficial App for Minecraft. This application is intended for educational purposes only. News for Minecraft PE is not affiliated in any way with Mojang AB. The Minecraft Name, the Minecraft Brand and the Minecraft Assets are all property of Mojang AB or they respectful owner. All rights reserved.","Free","News","62.2 MB","Atrran Rice","4 and a half stars","39 Ratings","https://itunes.apple.com/us/app/news-for-minecraft-pe/id766650566?mt=8""
"
"How It Works Magazine: Science and technology for curious minds","Imagine Publishing","Welcome to How It Works, the magazine that explains everything you never knew you wanted to know about the world we live in. Loaded with fully illustrated guides and expert knowledge, and with sections dedicated to science, technology, transportation, space, history and the environment, no subject is too big or small for How It Works to explain.What you’ll find in every issue:• Global Eye – the latest news, developments and events from the world of science, technology and space• Features – Covering science, technology, history, environment, transport and space – How It Works’ features explain the most fascinating subjects and topics in a fun and exciting way that everyone can understand• Brain Dump – Q&A; section that offers readers the chance to have all of their burning ‘how and why’ questions answered• Reviews – group tests featuring all of the latest gadgets This is a magazine app that requires you to purchase single issues or a subscription to access content once you have downloaded the appBack issues and future issues are available for purchase within the App.Future issues are also available through the following auto-renewing subscription deals:• 13 issues (365 days) at £24.99 / $32.99• 6 issues (180 days) at £14.99 / $19.99• 1 issue (30 days) at £2.29 / $2.99 === Terms and Conditions of Subscriptions ===The subscription will include the current issue if you do not already own it and subsequently published future issues. Payment will be charged to your iTunes Account at confirmation of purchase. The subscription will automatically renew unless auto-renew is turned off at least 24 hours before the end of the current period. Your account will be charged for renewal within 24 hours prior to the end of the current period. The cost of the renewal will match the initial subscription price.You may turn off auto-renewing subscriptions by going to your user’s Account Settings after purchase. No cancellation of the current subscription is allowed during your active subscription period. Please find our Terms & Conditions and Privacy Policy here: http://www.imagine-publishing.co.uk/privacy-policy","Free","News","54.7 MB","Imagine Publishing","4 stars","10 Ratings","https://itunes.apple.com/us/app/how-it-works-magazine-science/id471270590?mt=8""
"
"Busch Gardens Discovery Guide","SeaWorld Parks & Entertainment Inc.","Your Busch Gardens App is the must have companion for your entire park experience – whether just planning or while enjoying our destinations – put the park in your pocket™ today!· See park open hours and show times at a glance as well as tips for planning your trip· Conveniently purchase and access your park tickets/passes· Get daily in-park offers and deals· One tap to take trip photos, then tag and share them to your social networks or email· Even a car finder to make the end of your day easier· Much more!","Free","Travel","55.5 MB","SeaWorld Parks & Entertainment Inc.","2 stars","12 Ratings","https://itunes.apple.com/us/app/busch-gardens-discovery-guide/id452815667?mt=8""
"
"MetrO","Kinevia","MetrO helps you find your way in the public transportation systems in more than 400 cities around the world.One application for all your trips: download the cities you need and search your route by subway, bus, tram, railway... (depending on cities). NO network connection is required after you have installed the cities.Find the best route from your current location and check the map of the surroundings from within the program (in main cities).Transportation networks evolve frequently, so does MetrO! We provide weekly updates, including the latest changes. For a few cities, you even have access to data taking into account temporary disruptions, monitored day to day.Don't forget that MetrO is the result of a collective effort: our data can be kept up to date only with your help!","Free","Travel","0.6 MB","Kinevia","4 stars","26 Ratings","https://itunes.apple.com/us/app/metro/id320949132?mt=8""
"
"Ask Anything at Spring.me","Formspring.me, Inc","Meet people like you with Questions & Answers * The new app from Spring.me (formerly Formspring) is the next best way to meet new people. * Ask & answer, smile, chat & laugh with millions of Spring.me members & make amazing new friends from all over the world.Thousands of interesting and fun Questions & Answers * Ask and answer - anybody about anything - at any time! * Discover more about yourself & the world around you. * There are hundreds of fun conversations and chats to join in. Be daring, be anonymous or just be yourself. * Unlike on Facebook, you don’t have to pretend to be someone you’re not. * It’s anonymous, so you can truly be yourself. * Just being yourself is the best way to meet people who share the same views and interests. Find, follow & meet new people – it’s fun! * Whether you are looking for fun, a friend, a flirt or even a fling, you’ll find someone or something here. * You can see everyone online, see their photos, their questions & answers, so it’s easy to jump in and get started","Free","Social Networking","31.7 MB","Formspring.me, Inc","4 stars","2594 Ratings","https://itunes.apple.com/us/app/ask-anything-at-spring.me/id460151668?mt=8""
"
"MyCalendar Free","K-Factor Media, LLC.","FREE, ad-supported version of MyCalendar Mobile is here on iPhone!  Key Features: - Import birthdays from Facebook - Add birthdays of all contacts from your phone - Add custom birthdays - Customizable reminder settings: delivers notifications straight to your iPhone at a time you specify including advanced notifications -  Easily message your friends and wish them ""Happy Birthday"" along with custom message with just one click! Options to post to friend's Facebook wall or text them.We are working hard on our next version! More features coming soon! Thanks for your patience!--------------------------------------------------Use of this application is governed by the K-Factor Media, LLC Terms of Service in addition to Apple's own end user license agreement. Collection and use of personal data are subject to K-Factor Media, LLC's Privacy Policy. Both policies are available at http://www.mycalendarbook.com/privacy.php and http://www.mycalendarbook.com/terms.php.  Social Networking Service terms may also apply.","Free","Productivity","4.0 MB","K-Factor Media, LLC.","4 and a half stars","2049 Ratings","https://itunes.apple.com/us/app/mycalendar-free/id530755375?mt=8""
"
"ClipStitch video collage - stitch video and pic together on a clip photo collage with frames","Bending Spoons","Create INCREDIBLE VIDEO COLLAGESClipStitch is the ultimate app for creating fun, beautiful, and creative video collages. Have fun making your own video, and share it to boost your popularity.It's simple and delightful:1. Choose what videos to include in your collage2. Place them in the frame exactly as you like3. Be creative with colors and background themes4. Share on Instagram, Facebook, save to your camera roll, and much moreYou are going to love this app!-ø-ø-ø-ø-ø-ø-ø-ø-ø- ClipStitch is a Bending Spoons app. We really want to hear what you think. Drop us a line at clipstitch@bendingspoons.dk","Free","Photo & Video","13.9 MB","Bending Spoons ApS","4 and a half stars","3415 Ratings","https://itunes.apple.com/us/app/clipstitch-video-collage-stitch/id706910884?mt=8""
"
"FORTUNE Magazine","Time Inc.","Experience FORTUNE Magazine on your iPad or iPhone! FORTUNE covers the entire field of business, including specific companies and business trends, tech innovation prominent business leaders, and new ideas shaping the global marketplace. FORTUNE is particularly well known for its exceptionally reliable annual rankings of companies. Examples include the ""FORTUNE 500,"" which ranks the world's companies by gross revenue, and the ""Best Companies to Work For,"" which has become an industry benchmark. FORTUNE furthers understanding of the economy, provides implementable business strategy, and gives you the practical knowledge you need to maximize your own success.FEATURES • Each digital issue of FORTUNE includes all of the news and features in the print edition • Instant stock quotes and performance metrics on featured companies, including those on our trademarked FORTUNE 500 and Fastest Growing Companies lists • Embedded videos featuring Q&A; with executives • Enhanced photo galleries with behind the scenes extras SUBSCRIPTION OPTIONS This app is free to download, and getting full access to FORTUNE Magazine is simple. Current subscribers have access to the magazine. • 1-year subscription - $19.99 (automatically renewed until cancelled) • Single issue -- $5.99 (non-subscription)SUBSCRIBERS AUTOMATIC RENEWAL FEATUREYour subscription will be charged to your iTunes account at confirmation of purchase and will automatically renew unless auto-renew is turned off at least 24-hours before the end of your current period. Your iTunes account will automatically be charged at the same price for renewal, as stated above, within 24-hours prior to the end of the current period.Current subscribers may not be cancelled during the active subscription period, but you can manage your subscription and/or turn off auto-renewal by visiting your iTunes Account Settings after purchase. NOTE: WHEN PURCHASING A SUBSCRIPTION OR SINGLE-COPY OF THIS TITLE, YOU AGREE TO THE PRIVACY POLICY AND TERMS OF SERVICE WHICH CAN BE VIEWED BY GOING TO: https://subscription.timeinc.com/storefront/privacy/fortune/generic_privacy_new.html?dnp-source=M https://subscription.timeinc.com/storefront/privacy/fortune/privacy_terms_service.html","Free","Business","5.9 MB","TI Media Solutions Inc.","3 stars","44 Ratings","https://itunes.apple.com/us/app/fortune-magazine/id382920959?mt=8""
"
"Simplenote","Codality","Simplenote is an easy way to keep notes, lists, ideas and more. Your notes stay in sync with all your devices for free.The Simplenote experience is all about speed and efficiency. Open it, write some thoughts, and you're done. As your collection of notes grows, you can search them instantly and keep them organized with tags and pins. You can also share notes and publish them for other people.The best way to learn about Simplenote is to try it. You'll be asked to create an account. This allows your notes to be backed up online and synchronized automatically.After you sign up, try creating some notes! Then go to simplenote.com to download Simplenote for your other devices.","Free","Productivity","5.8 MB","Codality, Inc.","4 stars","13 Ratings","https://itunes.apple.com/us/app/simplenote/id289429962?mt=8""
"
