"QuakeFeed Earthquake Map, Alerts and News - World Earthquakes Displayed on Esri Maps","Artisan Global LLC","QuakeFeed is the #1 Earthquake App for the iPad and iPhone!--> NO ADS!!--> Eight beautiful basemaps plus plate lines--> Elegant, uncluttered user interface--> Quick and very easy to use--> Free alerts for M6.0+ quakes worldwide--> Customizable alerts via In-App Purchase--> Curated earthquake news and announcements--> Great educational toolOur mapping features are truly stunning. Want a unique perspective on the quakes? View them on shaded relief or a map of the ocean floor. It will deepen your understanding - try it and you'll see what we mean!QuakeFeed offers a variety of filter / sort options to let you see the quakes that are most important to you. Beautiful UI - check out our reviews, people love our simple, uncluttered design! And QuakeFeed is a universal app optimized for both the iPad and iPhone.BASIC FEATURES* Choose from six different USGS Data Feeds* Push notifications for all M6.0+ quakes* Quakes displayed in a list or on a map* Search, sort, or filter list* Drill down to quake details view:-- Map zooms to quake location-- Magnitude, time, lat/long, distance, depth-- Link to quake details on USGS website-- Link to NOAA Tsunami Warning Center (if available)* Earthquake news* Earthquake preparedness information* Social media integration - share via:-- Facebook-- Twitter-- EmailINTUITIVE USER INTERFACE* Color-coded map symbols with optional magnitude display* Quake list color-coded by magnitude* Sort list by date, magnitude, depth, or distance from current location* Filter list or map by magnitude* Pull to refresh list* GPS button for zoom to current location* Specify units for distance and depth (km or miles)* All screens work in portrait or landscape modeENHANCED MAPPING CAPABILITIES* Eight different basemap options:-- Street Map-- Satellite Imagery-- Imagery with Labels-- Ocean Bathymetry-- Topographic Map-- Shaded Relief Map-- Physical Map-- Terrain Map* Display plate lines as a map overlay* Pinch to zoom / drag to pan* One touch zoom in / two touch zoom outSUGGESTIONS? QUESTIONS? Contact us at support@artisanglobal.com or visit http://quakefeed.net -- we usually respond within 24 hrs!","Free","Weather","40.0 MB","Artisan Global LLC","4 and a half stars","150 Ratings","https://itunes.apple.com/us/app/quakefeed-earthquake-map-alerts/id403037266?mt=8""
"
"Flutter | Baby Heartbeat Monitor - Doppler Baby's Fetal Heart Beats in Pregnancy Free Obstetric Stethoscope or Ultrasound when Pregnant","Dan Miller-Schroeder","There's nothing quite like hearing your child's heartbeat for the first time! Flutter turns your phone into a mini stethoscope, allowing you to hear and record your child's heartbeat starting at the 20-24th week of pregnancy. Crisp HD graphics for all hi-res displays! REVIEWS""I am very pleased, enjoying the little heart beats! :)""""Beautiful and intuitive.""NOTE: The zodiac predictions are free; making and saving heartbeat recordings can be unlocked via IAP/EAP. Send support inquiries to contactus @ ittakesavillage.tips; this app cannot improve without your feedback!FEATURES- Live monitoring and recording of your baby's heartbeat during the last 12-16 weeks of pregnancy.- Pulse estimation (beta).- Live PCG (phonocardiogram) readout of the heartbeat.- Save, rename, and access your recordings for later.- Zodiac projections for your baby based on your due date. What kind of little person will they be? This offers infant and early childhood parenting tips based on their astrological sign. REQUIREMENTS- Headphones without an embedded microphone.- Pre-iPhone 5 users can record and listen at the same time. iPhone 5+ users can record and listen afterwards, as the headphones prevent the mic from being placed against skin. TIPS FOR FINDING HEARTBEAT- Feel for the baby's back and place the phone's mic against that spot; it's closest to their heart. Monitor your own pulse to differentiate between yours and your baby's. Your baby's should be over 120BPM and higher pitched. It won't be below 100BPM. A silent room, long recording, and strong heartbeat are required for accurate BPM.- Bigger headphones are better. The loudest frequencies of the heart are very low, and small speakers and headphones won't be able to play them. - Take your phone out of its case. Boost the volume if needed and try to set the noise reduction so you can hear the beats but no white noise in-between.NOTE: This is not a substitute for care from a medical professional. Contact a licensed physician for your prenatal care. If you have an emergency, call 911.","Free","Medical","40.1 MB","Daniel Miller-Schroeder","1 star","9 Ratings","https://itunes.apple.com/us/app/flutter-baby-heartbeat-monitor/id673586996?mt=8""
"
"Shralp Tide","shralpsoftware","Check the tide before you head to the beach to surf, tide pool or just go for a walk or run.  No network connection is required, so you can check anytime, anywhere.ShralpTide displays the current tide along with the high and low tides for the current day and the next 4 days.Includes an  INTERACTIVE FULLSCREEN TIDE GRAPH  in landscape mode. Turn the device on its side then touch the screen to see the tide at any time in the 24 hour window.ShralpTide 1.2.4 is no longer supported. There are known issues with daylight savings time transitions and inaccurate tide station data. I have made it available for download for those who want more international tide stations and are not concerned with accuracy. Good news! The crashing issues reported in iOS 7.1 are no longer a problem on iOS 8. So hurry up and upgrade, iOS 8 is a great release.---------------------------------------------*** Regarding Tide Station Locations ***Shralp Tide does not include all of the tide stations in the world. It has good coverage of the US and Canadian coasts as well as Australia, New Zealand and Japan. Beyond that there is spotty coverage of international locations.As of version 1.1.1, currents will no longer be available in Shralp Tide because they were a source of confusion to those expecting only tides.---------------------------------------------Source code is available under the GNU General Public License. Visit the homepage for details.NOT FOR NAVIGATIONThis program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  The author assumes no liability for damages arising from use of this program OR of any 'harmonics data' that might be distributed with it.","Free","Weather","1.9 MB","Michael Parlee","3 stars","33 Ratings","https://itunes.apple.com/us/app/shralp-tide/id302781008?mt=8""
"
"ChartSpan Medical Record Organizer","ChartSpan","ChartSpan is a FREE, encrypted and secure app empowering patients with the ability to organize, request and send their entire family’s health records (immunization, medical, dental, vision, prescription, medication, x-rays, lab results) from their smartphone.• What Current Users Are Saying About ChartSpan!""My new favorite app!! I had no idea how much I needed our health records until I started using this app. In the past 30 days I sent my insurance card to the doctor, kids shot records to school and was able to pull up the name & dosage of a prescription I was taking. All without having to make a call, dig through a file or wait on a doctor. I really like having everything so organized! It's pretty cool to know at any time I can easily pull up everything from lab results to doctors visits."" Tracy Wall""In about 15 minutes I was able to capture all 3 cards of my healthcare coverage + 2 dependents info and my immunization records. Just like that, I have data that has taken me multiple phone calls and LOTS of frustration to transfer to myself or other offices in previous efforts. Love it!"" FotoSpy1""The app design is awesome! Love the colors and how easy it is to distinguish which record belongs to who,. Requesting a health record below my mind. I never have to get on the phone with a doctor's office again! Great job!"" Brtczsdklo• Security… How Secure Is ChartSpan’s App?ChartSpan uses three different proven encryption methods to protect your data. ChartSpan not only encrypts your data at rest (on phone or server) but also when it is in flight (transmitted over network.). These three layers of encryption protection ensure that your data is always safe, secure and private.• Will ChartSpan Make It Easier To Manage My Healthcare Information For Me And My Family?ChartSpan was built to replace those annoying manila folders that most of us use to manage our important healthcare information. ChartSpan was built for patients to make healthcare record management simple and easy. You can request any medical record from any doctor in only seconds with ChartSpan. Once you receive your record, simply take a picture of the record or import it as an electronic fax, pdf or email. Users can easily search those records or send them to a recipient's fax or email address directly from ChartSpan in only seconds. • Does ChartSpan Allow You To Send And Request Health Records?You can request a lifetime of records or just a single record from any doctor using ChartSpan. You even have the choice to select how you want your healthcare records to be delivered (email, fax, mail or pick up at the doctor’s office.) Requesting healthcare records for yourself or your family has never been easier. ChartSpan gives you the freedom to easily send health records (immunization, vaccination, medical, dental, lab results, blood work, x-rays, prescriptions)  to a healthcare provider’s fax or email from the ChartSpan App. No more driving around town to deliver immunization records to the school nurse or medical records to a specialist; do it all from ChartSpan, in seconds. • Does ChartSpan Have Some Kind Of Special Technology?Yes we do!  Unlike our competitors, we do not make you manually enter your data after every healthcare encounter. ChartSpan combined optical character recognition, machine learning and our own patent-pending technology to develop an advanced data recognition engine that automates the process of capturing patient records. Simply take a picture of your record or import an electronic version of your file and ChartSpan does the rest. ChartSpan is simple, easy and works with any type of healthcare event. It’s time to put your health in the palm of your hand. Download ChartSpan today and start organizing your family’s healthcare records on your iPhone or iPad!","Free","Medical","20.4 MB","CHARTSPAN MEDICAL TECHNOLOGIES INC","4 and a half stars","44 Ratings","https://itunes.apple.com/us/app/chartspan-medical-record-organizer/id896040502?mt=8""
"
"Best Police Scanner","Smartest Apps LLC","*67% Off Sale Today to celebrate our 20 millionth download *Tap into the largest collection of live police, firefighters, aircraft, railroad, marine, emergency, and ham radios. Be the first to know about important news, events, or the first to know about any major crime waves happening in your town.* Exclusive Feature *Localized police codes - Now you can understand the police language that is specific to your city/county.Feeds/Codes for all 50 U.S. States, Australia, and others are included.New police feeds and others are added on an hourly basis.* Bought the App? *Visit http://smartestapple.com/skins to download new skins for free.* Features *- Listen to feeds in the background. You can run other apps while listening to the police.- Automatically attempts to reconnect the feed if you lose the connection.- Listen to feeds on your desktop/laptop computer. Email yourself a link to the feed, and open that link on your browser.- Ability to Add Feeds- Brand new built-in Web Browser allows you to browse the web while listening to a feed in the background.- The web browser also automatically detects feeds and integrates it with the radio. Now you can add feeds from the web by simply tapping on the feed's link via our browser.- The web browser blocks most ads.- Share feeds with your friends by email. They do not need to buy this app to listen with you.- Top 100 Feeds list- Aircraft and Train Feeds- App starts up in under a second- Worldwide coverage. Although, we may not have your country covered, our app is always expanding and looking for new police radios to tap into.- List scanners by county. Don't just list all feeds in a state, get only the ones that are from your city/county.- Integrated map that finds your location and the location of the feed. Now you can find where the action is happening and follow along.- Built-in police/EMS/fire/military codes and phonetic alphabet for easy interpretation. Good for any beginners who do not have the proper training and have trouble remembering what the codes mean.- Save your favorites to the front screen of the app for quick one-tap access.- This app will dynamically grab a new list of sources so that you will always be the first to get any new police feeds out there.- See the popularity of each feed. Each feed lists the number of listeners who are following the action along with you.- Choose new skins or make your own. Skins can be any photo you choose from your photos library.","$2.99","Medical","11.7 MB","Smartest Apps LLC","4 and a half stars","59 Ratings","https://itunes.apple.com/us/app/best-police-scanner/id334624666?mt=8""
"
"Amtrak","Amtrak","Discover the convenience of traveling with Amtrak. With the Amtrak app you can you can get simple and intuitive access to all the travel information you need, whenever you need it.• Show your eTicket while onboard, including multi-ride and monthly passes.• Book one-way and roundtrip tickets• Check train status• Search for station information• Save trip information to your phone calendar• Load your eTicket into Passbook™• And so much moreAll this, without the hassle of your laptop, making calls or printing your ticket.For help or feedback on the Amtrak app, go to amtrak.com/contact-us.","Free","Travel","13.1 MB","National Railroad Passenger Corporation","2 stars","85 Ratings","https://itunes.apple.com/us/app/amtrak/id405074003?mt=8""
"
"CNNMoney Business and Finance News","CNNMoney.com","Tap into the dynamic world of business and finance with CNNMoney.  Keep up with real-time changes to your stocks and funds with a personalized Watchlist and instant alerts. Access the latest business news, key market trends and analysis from CNNMoney’s award-winning journalists.Features:•Personalized stock and Watchlist and alerts—synched to your Watchlist and alerts you create on the CNNMoney website•Personalized news feed•Latest business and finance news•Market indexes, funds, commodities and charts   •Exclusive business and finance video","Free","News","28.5 MB","CNNMoney.com","4 and a half stars","53 Ratings","https://itunes.apple.com/us/app/cnnmoney-business-finance/id522921599?mt=8""
"
"Bible Verses:","Skol Games LLC","Inspiring Bible Verses & Photos! 1000's of the best verses! Get inspired, use as wallpapers, share with friends!• Amazing Bible Verses!• Share Photos, Go Social!• Inspire, Save, Love!• Daily Devotional!Bible Verses about Love, Faith, Heaven, Salvation, Good, Life, its all here!This app is advertising supported. Thank you! Want to remove your photos from our directory?  Please contact us at support-apps@skolgames.com and send us your web page and photo links.","Free","Reference","5.5 MB","Skol Games LLC","5 stars","87 Ratings","https://itunes.apple.com/us/app/bible-verses/id642058826?mt=8""
"
"Nitro Nation Drag Racing","Osauhing Creative Mobile","- Drive the fastest supercar in the World and 50+ officially licensed cars, from hot hatches to american muscle and 1000HP supercars- Buy your dream car, install performance upgrades and show your skills in 1/4 or 1/2 mile races- Challenge millions of players online: race 1 on 1, drive your opponent's car, or participate in real-time 10-player races in Pro LeagueLOTS OF CARS:Would you pick an iconic Skyline GT-R, a classic 69' Mustang, or a brand new BMW M3 as your ultimate driving machine? Do you dream about seeing 1000+ HP exotics pushed to the limit on a drag strip? This game includes virtually every sports car for you to enjoy.UNLIMITED DEPTH:Do you think racing in a straight line is easy? Try to find the right balance between power and grip while staying in your class. Add nitrous oxide for more fun, but don't push the button too early. Go deeper and adjust gear ratios to shave off precious milliseconds. Think you can challenge a world record or win 10 tournaments in a row? Welcome aboard.COMPETITIVE MULTIPLAYER:Racing on your own may be fun enough, but the ultimate challenge is in the ""Online"" section. Go head-to-head against your friends or random racers, beat them while driving their own cars, or race against 9 players at once in real-time competitions. Join a team to exchange tunes, discuss strategy and share your achievements.TRY THIS ONE:- Drag Racing: Bike Edition - the long-awaited extension with 17 sportbikes, brand new game modes, upgrades and WHEELIES!***REVIEWS IN THE PRESS:Named among 10 best games of 2011 by NY Times blog!""With so many cars to choose from, a virtually unlimited pool of opponents, and so many parts to upgrade, we think you'll love it."" - Jaymar Cabebe, CNET.com***Now featuring Cashplay enabled real-money tournaments!- Race for Cash! Compete in a range of real cash tournaments - Play for Fun and Win Real Cash! No deposit required - Pit your Drag Racing skills against other players today and win your CashPlay real money bonus Select Race for Cash option to play and win real cash money.***TIPS:0. Updating the game- Your cars and money are saved on your device. DO NOT EVER uninstall the game before updating, or you will lose ALL of your stuff.1. Racing- Launch and shift when the dashboard indicator turns blue or green - If there is too much wheelspin, you are not going anywhere - watch the orange indicator on your dashboard - Once you learn how to drive properly, ignore the lights and find your own winning strategy - Nitrous is more effective on underpowered cars with lots of grip. Timing is crucial!2. Cars and upgrades- Test drive before you buy a car!- The more your car costs, the tougher opposition you'll face both offline and online- Upgrades count towards increasing car cost/level, while tuning doesn't- Keep your car cost just under your level cap to get an advantage- Adjusting gear ratios (Garage -> Upgrade -> Tune) is costly, but lets you achieve times that are impossible on stock settings3. Game modes and winnings- Race against beginner/amateur AI to get some quick cash and build your car- Defeat bosses and unlock achievements for extra RP- Go online and race against others to earn maximum cash/RP- If your car isn't ready for online races, earn some cash in ""Drivers Battle""- For the ultimate challenge, race against top players in Pro League4. Misc- Like http://facebook.com/DragRacingGame for news and strategy- Visit the official forums: http://www.dragracingforum.net- Try playing with vibration on (enable it in the ""Settings"" menu)!- If the game runs slow on your phone, use the task manager to kill unnecessary background tasks","Free","Games","81.4 MB","Osauhing Creative Mobile","4 and a half stars","744 Ratings","https://itunes.apple.com/us/app/nitro-nation-drag-racing/id470867961?mt=8""
"
"Ant Smasher Christmas - a Free Game by the Best, Cool & Fun Games","Gustavo Schvartsman","*** TOP 10 GAME *** 10 MILLION DOWNLOADS ***The best free game out there! Smash ants with your finger in this great game!Ant Smasher is more social now - you can smash your friends' pictures!!!Highly entertaining for kids, boys and girls. Special virtual goods that make the game easier for young players can be acquired!Features:+ Several Ants to Smash+ One of the best FREE Games ever!+ Dangerous Bee - Don't Touch the Bee!+ Global high-score rankings+ Different Game Modes+ Best Game for all ages!+ A funny app to pass the time.All... for FREE!We will keep bringing you the top best games and apps!Simply touch the ants and relax! Simple, exciting, a must-play arcade game.Be the best crusher out there!Download Ant Smasher while it's FREE!","Free","Games","105 MB","Gustavo Schvartsman","4 stars","271 Ratings","https://itunes.apple.com/us/app/ant-smasher-christmas-free/id488305689?mt=8""
"
